pincode,latitude,longitude
500038,17.3850,78.4867
500039,17.3850,78.4867
500040,17.3850,78.4867
500041,17.3850,78.4867
500042,17.3850,78.4867
500043,17.3850,78.4867
500044,17.3850,78.4867
500045,17.3850,78.4867
500046,17.3850,78.4867
500047,17.3850,78.4867
500048,17.3850,78.4867
500049,17.3850,78.4867
500050,17.3850,78.4867
500051,17.3850,78.4867
500052,17.3850,78.4867
500053,17.3850,78.4867
500054,17.3850,78.4867
500055,17.3850,78.4867
500056,17.3850,78.4867
500057,17.3850,78.4867
500058,17.3850,78.4867
500059,17.3850,78.4867
500060,17.3850,78.4867
500061,17.3850,78.4867
500062,17.3850,78.4867
500063,17.3850,78.4867
500064,17.3850,78.4867
500065,17.3850,78.4867
500066,17.3850,78.4867
500067,17.3850,78.4867
500068,17.3850,78.4867
500069,17.3850,78.4867
500070,17.3850,78.4867
500071,17.3850,78.4867
500072,17.3850,78.4867
500073,17.3850,78.4867
500074,17.3850,78.4867
500075,17.3850,78.4867
500076,17.3850,78.4867
500077,17.3850,78.4867
500078,17.3850,78.4867
500079,17.3850,78.4867
500080,17.3850,78.4867
500081,17.3850,78.4867
500082,17.3850,78.4867
500083,17.3850,78.4867
500084,17.3850,78.4867
500085,17.3850,78.4867
500086,17.3850,78.4867
500087,17.3850,78.4867
500088,17.3850,78.4867
500089,17.3850,78.4867
500090,17.3850,78.4867
500091,17.3850,78.4867
500092,17.3850,78.4867
500093,17.3850,78.4867
500094,17.3850,78.4867
500095,17.3850,78.4867
500096,17.3850,78.4867
500097,17.3850,78.4867
500098,17.3850,78.4867
400001,19.0760,72.8777
400002,19.0760,72.8777
400003,19.0760,72.8777
400051,19.0760,72.8777
400052,19.0760,72.8777
400053,19.0760,72.8777
400054,19.0760,72.8777
400055,19.0760,72.8777
400056,19.0760,72.8777
400057,19.0760,72.8777
400058,19.0760,72.8777
400059,19.0760,72.8777
400060,19.0760,72.8777
400061,19.0760,72.8777
400062,19.0760,72.8777
400063,19.0760,72.8777
400064,19.0760,72.8777
400065,19.0760,72.8777
400066,19.0760,72.8777
400067,19.0760,72.8777
400068,19.0760,72.8777
400069,19.0760,72.8777
400070,19.0760,72.8777
400071,19.0760,72.8777
400072,19.0760,72.8777
400073,19.0760,72.8777
400074,19.0760,72.8777
400075,19.0760,72.8777
400076,19.0760,72.8777
400077,19.0760,72.8777
400078,19.0760,72.8777
400079,19.0760,72.8777
400080,19.0760,72.8777
400081,19.0760,72.8777
400082,19.0760,72.8777
400083,19.0760,72.8777
400084,19.0760,72.8777
400085,19.0760,72.8777
400086,19.0760,72.8777
400087,19.0760,72.8777
400088,19.0760,72.8777
400089,19.0760,72.8777
400090,19.0760,72.8777
400091,19.0760,72.8777
400092,19.0760,72.8777
400093,19.0760,72.8777
400094,19.0760,72.8777
400095,19.0760,72.8777
400096,19.0760,72.8777
400097,19.0760,72.8777
400098,19.0760,72.8777
400099,19.0760,72.8777
110001,28.6139,77.2090
110002,28.6139,77.2090
110003,28.6139,77.2090
110004,28.6139,77.2090
110005,28.6139,77.2090
110006,28.6139,77.2090
110007,28.6139,77.2090
110008,28.6139,77.2090
110009,28.6139,77.2090
110010,28.6139,77.2090
110011,28.6139,77.2090
110012,28.6139,77.2090
110013,28.6139,77.2090
110014,28.6139,77.2090
110015,28.6139,77.2090
110016,28.6139,77.2090
110017,28.6139,77.2090
110018,28.6139,77.2090
110019,28.6139,77.2090
110020,28.6139,77.2090
110021,28.6139,77.2090
110022,28.6139,77.2090
110023,28.6139,77.2090
110024,28.6139,77.2090
110025,28.6139,77.2090
110026,28.6139,77.2090
110027,28.6139,77.2090
110028,28.6139,77.2090
110029,28.6139,77.2090
110030,28.6139,77.2090
110031,28.6139,77.2090
110032,28.6139,77.2090
110033,28.6139,77.2090
110034,28.6139,77.2090
110035,28.6139,77.2090
110036,28.6139,77.2090
110037,28.6139,77.2090
110038,28.6139,77.2090
110039,28.6139,77.2090
110040,28.6139,77.2090
110041,28.6139,77.2090
110042,28.6139,77.2090
110043,28.6139,77.2090
110044,28.6139,77.2090
110045,28.6139,77.2090
110046,28.6139,77.2090
110047,28.6139,77.2090
110048,28.6139,77.2090
110049,28.6139,77.2090
110050,28.6139,77.2090
110051,28.6139,77.2090
110052,28.6139,77.2090
110053,28.6139,77.2090
110054,28.6139,77.2090
110055,28.6139,77.2090
110056,28.6139,77.2090
110057,28.6139,77.2090
110058,28.6139,77.2090
110059,28.6139,77.2090
110060,28.6139,77.2090
110061,28.6139,77.2090
110062,28.6139,77.2090
110063,28.6139,77.2090
110064,28.6139,77.2090
110065,28.6139,77.2090
110066,28.6139,77.2090
110067,28.6139,77.2090
110068,28.6139,77.2090
110069,28.6139,77.2090
110070,28.6139,77.2090
110071,28.6139,77.2090
110072,28.6139,77.2090
110073,28.6139,77.2090
110074,28.6139,77.2090
110075,28.6139,77.2090
110076,28.6139,77.2090
110077,28.6139,77.2090
110078,28.6139,77.2090
110079,28.6139,77.2090
110080,28.6139,77.2090
110081,28.6139,77.2090
110082,28.6139,77.2090
110083,28.6139,77.2090
110084,28.6139,77.2090
110085,28.6139,77.2090
110086,28.6139,77.2090
110087,28.6139,77.2090
110088,28.6139,77.2090
110089,28.6139,77.2090
110090,28.6139,77.2090
110091,28.6139,77.2090
110092,28.6139,77.2090
110093,28.6139,77.2090
110094,28.6139,77.2090
110095,28.6139,77.2090
110096,28.6139,77.2090
110097,28.6139,77.2090
600001,13.0827,80.2707
600002,13.0827,80.2707
600003,13.0827,80.2707
600004,13.0827,80.2707
600005,13.0827,80.2707
600006,13.0827,80.2707
600007,13.0827,80.2707
600008,13.0827,80.2707
600009,13.0827,80.2707
600010,13.0827,80.2707
600011,13.0827,80.2707
600012,13.0827,80.2707
600013,13.0827,80.2707
600014,13.0827,80.2707
600015,13.0827,80.2707
600016,13.0827,80.2707
600017,13.0827,80.2707
600018,13.0827,80.2707
600019,13.0827,80.2707
600020,13.0827,80.2707
600021,13.0827,80.2707
600022,13.0827,80.2707
600023,13.0827,80.2707
600024,13.0827,80.2707
600025,13.0827,80.2707
600026,13.0827,80.2707
600027,13.0827,80.2707
600028,13.0827,80.2707
600029,13.0827,80.2707
600030,13.0827,80.2707
600031,13.0827,80.2707
600032,13.0827,80.2707
600033,13.0827,80.2707
600034,13.0827,80.2707
600035,13.0827,80.2707
600036,13.0827,80.2707
600037,13.0827,80.2707
600038,13.0827,80.2707
600039,13.0827,80.2707
600040,13.0827,80.2707
600041,13.0827,80.2707
600042,13.0827,80.2707
600043,13.0827,80.2707
600044,13.0827,80.2707
600045,13.0827,80.2707
600046,13.0827,80.2707
600047,13.0827,80.2707
600048,13.0827,80.2707
600049,13.0827,80.2707
600050,13.0827,80.2707
600051,13.0827,80.2707
600052,13.0827,80.2707
600053,13.0827,80.2707
600054,13.0827,80.2707
600055,13.0827,80.2707
600056,13.0827,80.2707
600057,13.0827,80.2707
600058,13.0827,80.2707
600059,13.0827,80.2707
600060,13.0827,80.2707
600061,13.0827,80.2707
600062,13.0827,80.2707
600063,13.0827,80.2707
600064,13.0827,80.2707
600065,13.0827,80.2707
600066,13.0827,80.2707
600067,13.0827,80.2707
600068,13.0827,80.2707
600069,13.0827,80.2707
600070,13.0827,80.2707
600071,13.0827,80.2707
600072,13.0827,80.2707
600073,13.0827,80.2707
600074,13.0827,80.2707
600075,13.0827,80.2707
600076,13.0827,80.2707
600077,13.0827,80.2707
600078,13.0827,80.2707
600079,13.0827,80.2707
600080,13.0827,80.2707
600081,13.0827,80.2707
600082,13.0827,80.2707
600083,13.0827,80.2707
600084,13.0827,80.2707
600085,13.0827,80.2707
600086,13.0827,80.2707
600087,13.0827,80.2707
600088,13.0827,80.2707
600089,13.0827,80.2707
600090,13.0827,80.2707
600091,13.0827,80.2707
600092,13.0827,80.2707
600093,13.0827,80.2707
600094,13.0827,80.2707
600095,13.0827,80.2707
600096,13.0827,80.2707
600097,13.0827,80.2707
600098,13.0827,80.2707
600099,13.0827,80.2707
600100,13.0827,80.2707
700001,22.5726,88.3639
700002,22.5726,88.3639
700003,22.5726,88.3639
700004,22.5726,88.3639
700005,22.5726,88.3639
700006,22.5726,88.3639
700007,22.5726,88.3639
700008,22.5726,88.3639
700009,22.5726,88.3639
700010,22.5726,88.3639
700011,22.5726,88.3639
700012,22.5726,88.3639
700013,22.5726,88.3639
700014,22.5726,88.3639
700015,22.5726,88.3639
700016,22.5726,88.3639
700017,22.5726,88.3639
700018,22.5726,88.3639
700019,22.5726,88.3639
700020,22.5726,88.3639
700021,22.5726,88.3639
700022,22.5726,88.3639
700023,22.5726,88.3639
700024,22.5726,88.3639
700025,22.5726,88.3639
700026,22.5726,88.3639
700027,22.5726,88.3639
700028,22.5726,88.3639
700029,22.5726,88.3639
700030,22.5726,88.3639
700031,22.5726,88.3639
700032,22.5726,88.3639
700033,22.5726,88.3639
700034,22.5726,88.3639
700035,22.5726,88.3639
700036,22.5726,88.3639
700037,22.5726,88.3639
700038,22.5726,88.3639
700039,22.5726,88.3639
700040,22.5726,88.3639
700041,22.5726,88.3639
700042,22.5726,88.3639
700043,22.5726,88.3639
700044,22.5726,88.3639
700045,22.5726,88.3639
700046,22.5726,88.3639
700047,22.5726,88.3639
700048,22.5726,88.3639
700049,22.5726,88.3639
700050,22.5726,88.3639
700051,22.5726,88.3639
700052,22.5726,88.3639
700053,22.5726,88.3639
700054,22.5726,88.3639
700055,22.5726,88.3639
700056,22.5726,88.3639
700057,22.5726,88.3639
700058,22.5726,88.3639
700059,22.5726,88.3639
700060,22.5726,88.3639
700061,22.5726,88.3639
700062,22.5726,88.3639
700063,22.5726,88.3639
700064,22.5726,88.3639
700065,22.5726,88.3639
700066,22.5726,88.3639
700067,22.5726,88.3639
700068,22.5726,88.3639
700069,22.5726,88.3639
700070,22.5726,88.3639
700071,22.5726,88.3639
700072,22.5726,88.3639
700073,22.5726,88.3639
700074,22.5726,88.3639
700075,22.5726,88.3639
700076,22.5726,88.3639
700077,22.5726,88.3639
700078,22.5726,88.3639
700079,22.5726,88.3639
700080,22.5726,88.3639
700081,22.5726,88.3639
700082,22.5726,88.3639
700083,22.5726,88.3639
700084,22.5726,88.3639
700085,22.5726,88.3639
700086,22.5726,88.3639
700087,22.5726,88.3639
700088,22.5726,88.3639
700089,22.5726,88.3639
700090,22.5726,88.3639
700091,22.5726,88.3639
700092,22.5726,88.3639
700093,22.5726,88.3639
700094,22.5726,88.3639
700095,22.5726,88.3639
700096,22.5726,88.3639
700097,22.5726,88.3639
700098,22.5726,88.3639
700099,22.5726,88.3639
700100,22.5726,88.3639
380001,23.0225,72.5714
380002,23.0225,72.5714
380004,23.0225,72.5714
380005,23.0225,72.5714
380006,23.0225,72.5714
380007,23.0225,72.5714
380008,23.0225,72.5714
380009,23.0225,72.5714
380013,23.0225,72.5714
380014,23.0225,72.5714
380015,23.0225,72.5714
380016,23.0225,72.5714
380018,23.0225,72.5714
380019,23.0225,72.5714
380021,23.0225,72.5714
380022,23.0225,72.5714
380023,23.0225,72.5714
380024,23.0225,72.5714
380025,23.0225,72.5714
380026,23.0225,72.5714
380027,23.0225,72.5714
380028,23.0225,72.5714
380050,23.0225,72.5714
380051,23.0225,72.5714
380052,23.0225,72.5714
380054,23.0225,72.5714
380055,23.0225,72.5714
380058,23.0225,72.5714
380059,23.0225,72.5714
380060,23.0225,72.5714
380061,23.0225,72.5714
380063,23.0225,72.5714
380080,23.0225,72.5714
380085,23.0225,72.5714
411001,18.5204,73.8567
411002,18.5204,73.8567
411003,18.5204,73.8567
411004,18.5204,73.8567
411005,18.5204,73.8567
411006,18.5204,73.8567
411007,18.5204,73.8567
411008,18.5204,73.8567
411009,18.5204,73.8567
411010,18.5204,73.8567
411011,18.5204,73.8567
411012,18.5204,73.8567
411013,18.5204,73.8567
411014,18.5204,73.8567
411015,18.5204,73.8567
411016,18.5204,73.8567
411017,18.5204,73.8567
411018,18.5204,73.8567
411019,18.5204,73.8567
411020,18.5204,73.8567
411021,18.5204,73.8567
411022,18.5204,73.8567
411023,18.5204,73.8567
411024,18.5204,73.8567
411025,18.5204,73.8567
411026,18.5204,73.8567
411027,18.5204,73.8567
411028,18.5204,73.8567
411029,18.5204,73.8567
411030,18.5204,73.8567
411031,18.5204,73.8567
411032,18.5204,73.8567
411033,18.5204,73.8567
411034,18.5204,73.8567
411035,18.5204,73.8567
411036,18.5204,73.8567
411037,18.5204,73.8567
411038,18.5204,73.8567
411039,18.5204,73.8567
411040,18.5204,73.8567
411041,18.5204,73.8567
411042,18.5204,73.8567
411043,18.5204,73.8567
411044,18.5204,73.8567
411045,18.5204,73.8567
411046,18.5204,73.8567
411047,18.5204,73.8567
411048,18.5204,73.8567
411049,18.5204,73.8567
411050,18.5204,73.8567
411051,18.5204,73.8567
411052,18.5204,73.8567
411053,18.5204,73.8567
411054,18.5204,73.8567
411055,18.5204,73.8567
411056,18.5204,73.8567
411057,18.5204,73.8567
411058,18.5204,73.8567
411059,18.5204,73.8567
411060,18.5204,73.8567
411061,18.5204,73.8567
411062,18.5204,73.8567
302001,26.9124,75.7873
302002,26.9124,75.7873
302003,26.9124,75.7873
302004,26.9124,75.7873
302005,26.9124,75.7873
302006,26.9124,75.7873
302007,26.9124,75.7873
302008,26.9124,75.7873
302009,26.9124,75.7873
302010,26.9124,75.7873
302011,26.9124,75.7873
302012,26.9124,75.7873
302013,26.9124,75.7873
302014,26.9124,75.7873
302015,26.9124,75.7873
302016,26.9124,75.7873
302017,26.9124,75.7873
302018,26.9124,75.7873
302019,26.9124,75.7873
302020,26.9124,75.7873
302021,26.9124,75.7873
302022,26.9124,75.7873
302023,26.9124,75.7873
302024,26.9124,75.7873
302025,26.9124,75.7873
302026,26.9124,75.7873
302027,26.9124,75.7873
302028,26.9124,75.7873
302029,26.9124,75.7873
302030,26.9124,75.7873
302031,26.9124,75.7873
302032,26.9124,75.7873
302033,26.9124,75.7873
302034,26.9124,75.7873
302035,26.9124,75.7873
302036,26.9124,75.7873
302037,26.9124,75.7873
302038,26.9124,75.7873
302039,26.9124,75.7873
302040,26.9124,75.7873
302041,26.9124,75.7873
302042,26.9124,75.7873
302043,26.9124,75.7873
302044,26.9124,75.7873
302045,26.9124,75.7873
302046,26.9124,75.7873
530001,17.6868,83.2185
530002,17.6868,83.2185
530003,17.6868,83.2185
530004,17.6868,83.2185
530005,17.6868,83.2185
530006,17.6868,83.2185
530007,17.6868,83.2185
530008,17.6868,83.2185
530009,17.6868,83.2185
530010,17.6868,83.2185
530011,17.6868,83.2185
530012,17.6868,83.2185
530013,17.6868,83.2185
530014,17.6868,83.2185
530015,17.6868,83.2185
530016,17.6868,83.2185
530017,17.6868,83.2185
530018,17.6868,83.2185
530019,17.6868,83.2185
530020,17.6868,83.2185
530023,17.6868,83.2185
530024,17.6868,83.2185
530026,17.6868,83.2185
530027,17.6868,83.2185
530028,17.6868,83.2185
530029,17.6868,83.2185
530031,17.6868,83.2185
530032,17.6868,83.2185
530035,17.6868,83.2185
530040,17.6868,83.2185
530041,17.6868,83.2185
530043,17.6868,83.2185
530044,17.6868,83.2185
530045,17.6868,83.2185
530046,17.6868,83.2185
530047,17.6868,83.2185
530048,17.6868,83.2185
530049,17.6868,83.2185
530051,17.6868,83.2185
530052,17.6868,83.2185
641001,11.0168,76.9558
641002,11.0168,76.9558
641003,11.0168,76.9558
641004,11.0168,76.9558
641005,11.0168,76.9558
641006,11.0168,76.9558
641007,11.0168,76.9558
641008,11.0168,76.9558
641009,11.0168,76.9558
641010,11.0168,76.9558
641011,11.0168,76.9558
641012,11.0168,76.9558
641013,11.0168,76.9558
641014,11.0168,76.9558
641015,11.0168,76.9558
641016,11.0168,76.9558
641017,11.0168,76.9558
641018,11.0168,76.9558
641019,11.0168,76.9558
641020,11.0168,76.9558
641021,11.0168,76.9558
641022,11.0168,76.9558
641023,11.0168,76.9558
641024,11.0168,76.9558
641025,11.0168,76.9558
641026,11.0168,76.9558
641027,11.0168,76.9558
641028,11.0168,76.9558
641029,11.0168,76.9558
641030,11.0168,76.9558
641031,11.0168,76.9558
641032,11.0168,76.9558
641033,11.0168,76.9558
641034,11.0168,76.9558
641035,11.0168,76.9558
641036,11.0168,76.9558
641037,11.0168,76.9558
641038,11.0168,76.9558
641039,11.0168,76.9558
641040,11.0168,76.9558
641041,11.0168,76.9558
641042,11.0168,76.9558
641043,11.0168,76.9558
641044,11.0168,76.9558
641045,11.0168,76.9558
641046,11.0168,76.9558
641047,11.0168,76.9558
641048,11.0168,76.9558
641049,11.0168,76.9558
641050,11.0168,76.9558
